SK_ID_CURR,text_path,pdf_path,image_path,TARGET
100021,,,,0
100030,,,,0
100033,,,,0
100294,,,,0
100300,,,,1
100322,,,,0
100353,,,,0
100394,,,,0
100460,,,,0
100490,,,,1
100536,,,,0
100540,,,,1
100541,,,,1
100570,,,,0
100616,,,,1
100632,,,,0
100636,,,,1
100639,,,,0
100670,,,,0
100717,,,,1
100731,,,,0
100796,,,,1
100896,,,,1
100922,,,,0
100936,,,,1
100971,,,,1
100996,,,,1
101062,,,,0
101083,,,,0
101145,,,,0
101147,,,,1
101177,,,,0
101247,,,,0
101277,,,,1
101314,,,,0
101323,,,,0
101403,,,,0
101409,,,,0
101431,,,,0
101437,,,,0
101482,,,,0
101491,,,,0
101502,,,,0
101512,,,,0
101515,,,,1
101519,,,,0
101575,,,,1
101590,,,,0
101646,,,,1
101681,,,,0
101705,,,,1
101721,,,,1
101768,,,,0
101779,,,,0
101942,,,,0
101981,,,,1
101988,,,,1
101993,,,,0
102031,,,,1
102133,,,,1
102135,,,,1
102235,,,,1
102312,,,,0
102321,,,,0
102336,,,,0
102407,,,,1
102454,,,,0
102457,,,,0
102491,,,,1
102585,,,,0
102710,,,,0
102715,,,,1
102752,,,,1
102764,,,,0
102809,,,,1
102812,,,,0
102882,,,,1
102943,,,,0
103054,,,,0
103066,,,,0
103068,,,,1
103086,,,,0
103148,,,,1
103159,,,,1
103205,,,,1
103214,,,,1
103324,,,,1
103325,,,,1
103380,,,,1
103381,,,,1
103385,,,,1
103409,,,,0
103438,,,,1
103569,,,,0
103617,,,,0
103631,,,,0
103638,,,,1
103664,,,,0
103667,,,,1
103726,,,,1
103739,,,,1
103766,,,,0
103821,,,,1
103852,,,,1
103888,,,,0
103917,,,,1
103945,,,,0
103964,,,,1
104037,,,,1
104070,,,,1
104079,,,,0
104106,,,,1
104115,,,,0
104118,,,,1
104200,,,,0
104302,,,,0
104315,,,,1
104322,,,,0
104330,,,,0
104343,,,,1
104385,,,,0
104617,,,,0
104738,,,,0
104748,,,,1
104749,,,,0
104777,,,,1
104800,,,,1
104806,,,,1
104824,,,,1
104884,,,,1
104888,,,,1
104905,,,,0
104944,,,,1
104947,,,,1
105006,,,,1
105042,,,,1
105087,,,,0
105140,,,,1
105178,,,,0
105188,,,,0
105200,,,,1
105247,,,,1
105259,,,,1
105300,,,,0
105326,,,,1
105363,,,,1
105387,,,,0
105455,,,,1
105472,,,,1
105593,,,,0
105623,,,,1
105639,,,,1
105662,,,,1
105714,,,,1
105732,,,,0
105797,,,,1
105831,,,,1
105836,,,,0
105903,,,,0
105918,,,,0
105996,,,,0
105997,,,,1
106028,,,,0
106063,,,,0
106085,,,,0
106122,,,,1
106130,,,,1
106140,,,,0
106219,,,,1
106289,,,,0
106309,,,,0
106335,,,,0
106463,,,,0
106478,,,,1
106492,,,,1
106496,,,,0
106520,,,,0
106530,,,,1
106566,,,,0
106574,,,,1
106659,,,,1
106707,,,,0
106711,,,,0
106748,,,,0
106758,,,,1
106789,,,,0
106821,,,,1
106921,,,,0
106925,,,,1
106971,,,,1
106988,,,,0
107052,,,,1
107110,,,,1
107157,,,,1
107178,,,,1
107220,,,,1
107240,,,,1
107251,,,,1
107366,,,,0
107367,,,,1
107465,,,,1
107510,,,,1
107514,,,,0
107516,,,,0
107533,,,,1
107565,,,,0
107574,,,,0
107606,,,,1
107663,,,,1
107693,,,,1
107699,,,,0
107718,,,,1
107774,,,,1
107831,,,,0
107858,,,,0
107882,,,,0
107894,,,,0
108008,,,,1
108052,,,,0
108117,,,,1
108131,,,,1
108141,,,,0
108235,,,,0
108241,,,,1
108303,,,,0
108307,,,,1
108434,,,,1
108492,,,,0
108577,,,,0
108578,,,,1
108650,,,,0
108685,,,,0
108719,,,,1
108731,,,,0
108807,,,,1
108833,,,,1
108840,,,,1
108976,,,,0
109022,,,,0
109094,,,,0
109125,,,,0
109153,,,,1
109170,,,,1
109177,,,,0
109243,,,,1
109286,,,,1
109293,,,,0
109327,,,,1
109387,,,,0
109412,,,,0
109436,,,,1
109465,,,,1
109506,,,,0
109562,,,,1
109586,,,,1
109608,,,,1
109619,,,,1
109671,,,,1
109715,,,,0
109738,,,,1
109748,,,,0
109767,,,,0
109770,,,,0
109827,,,,1
109891,,,,0
109990,,,,0
109993,,,,1
110077,,,,1
110119,,,,1
110157,,,,0
110232,,,,1
110266,,,,1
110332,,,,0
110366,,,,1
110429,,,,1
110432,,,,1
110451,,,,1
110532,,,,1
110538,,,,0
110629,,,,1
110702,,,,0
110776,,,,0
110812,,,,1
110821,,,,1
110840,,,,0
110875,,,,0
110899,,,,1
110908,,,,0
110981,,,,1
111000,,,,1
111029,,,,1
111035,,,,0
111086,,,,1
111092,,,,1
111103,,,,0
111133,,,,1
111166,,,,1
111179,,,,0
111234,,,,0
111282,,,,0
111316,,,,0
111395,,,,0
111428,,,,0
111497,,,,1
111542,,,,0
